like_count dislike_count youtube_id imdb_id
100061 3801 29VjYkPPY2s tt0451279
100638 51273 CxQ4aL5IXZw tt0164052
103650 2787 hlzm7-gvTRg tt0106856
104580 6506 NFj82X1Fdh4 tt4881806
107267 30580 ttU5gs0lj38 tt0099253
108131 5181 S1Kbym7WYzs tt1190080
108611 8315 ngdsRt31sIc tt4530422
109315 6905 BNWvtfCdBcA tt0133751
109859 15467 m89SmMCynWM tt0452625
110451 9604 idvqLiOeLgc tt5308322
110615 9068 tj3Trywp_zk tt0837562
111238 5978 YmGBAiHnK0U tt3110958
112131 12139 Sgwfvu6k0xs tt0175142
112158 3111 EHV0zs0kVGg tt0080455
113368 16926 Vje8Fp3yQFM tt0286112
114054 2432 F1Bhl3yjzsQ tt0116126
115353 7756 IvFBobchMoc tt1646971
115907 19934 uztZUqKrHVo tt0431021
116717 14721 aJ7NA4hNNc0 tt1023111
119290 15939 hlNvdfv76WA tt0277296
119631 1952 u-z5139CW1I tt0988045
121417 10549 GVt3XFTYp-0 tt0413300
122158 12109 wEPZVYQqdMY tt4465564
122678 2594 rsuNowyCF0c tt4425200
124847 4934 hktlkG0QuKY tt0097388
125492 26330 mIGCgzqFR0s tt3874544
126586 4080 NPY5Iq-tCvk tt6320628
127016 3704 4Prc1UfuokY tt0416449
127855 14585 exMmixM3b3Q tt0286112
128764 15749 Rj5XdwnuQ80 tt0259324
128882 14503 gmk1iStpovo tt0286112
129094 22549 dR3cjXncoSk tt2250912
129448 10220 DefILRrX77k tt2034800
129476 7928 OjxcWhQYMKw tt0369610
129482 10549 VNtsVP42bOE tt0120647
129516 41041 pDnPZ0Ccdus tt0099253
130714 18672 2V_LmUEtPMs tt1055369
132876 48971 W1GrNDtRkgE tt0107983
135124 2772 DyCfCl46JSE tt4765284
135509 46679 WdD2JN10zpY tt0083629
140179 30486 W2UAnJuDL0A tt4217392
140430 10966 tWEBbYoDaU8 tt1038686
141941 7932 zuSBq10_5go tt1270797
142047 4505 WDuIl_uPY_s tt1469304
142735 5213 QRoWiTcO7dk tt0795421
142994 10224 Jy2_J5WCzDY tt0441773
144529 6500 G6f0w5BRasw tt1155076
146842 46692 9oS260wm-UM tt5220122
147447 55254 A_CGtuDwl-A tt3874544
147760 9298 G76ThtqLvWk tt4630562
149864 50180 ZvGaiZMBOOI tt2531344
150100 38715 ZYZsJYZVt5g tt0360717
152696 37653 c0-3FQ-_SAg tt1051904
153982 37489 4FppyDurg7c tt5117670
161201 34773 eO1Jm4N4rlA tt1981677
165690 2219 nEf2ML7wkBE tt0172156
165820 8659 d4MZPbERTFs tt1673434
168240 9356 2P3uaREypD4 tt1673434
169000 43560 m0XrO4YJyeI tt2293640
170253 31567 zlwaUJzGqns tt0316654
171112 3720 bAI6N5Uo7SQ tt1196141
173806 7019 iKRpMjVJKZc tt0091326
176770 7150 5rGPKIgdV6A tt4630562
177980 65031 gRLpvojaVBM tt0305711
178272 9850 l2zrJ_LZrhg tt0451279
18595 15432 G_1jQkCRF58 tt0082332
188548 14240 zAeofWDUArU tt0306047
201526 3418 foV6LGohzBI tt4765284
201608 85865 ax3ZNv5jqQY tt2293640
203771 29219 -zLOrCQ0BpQ tt0175142
204447 64547 PR9wl4Qve5E tt0355295
219596 14979 engSFG20kaA tt3470600
226781 8233 Gt4t3ZZsAnQ tt1436562
228037 17489 p3zb4fwFd3E tt4779682
233617 16735 x2-MCPa_3rU tt0109830
237171 7250 F2zTd_YwTvo tt0105323
239727 52340 EOQeU_6vbeg tt0117008
24402 7448 -kYzHmPDZwo tt1690953
245392 93878 zV0rK6KXfwU tt1091722
250904 5027 vOTtCjGqXYo tt1981677
25655 7437 6_u456zQtkY tt2709768
25803 7065 h-Ss_FvzZcs tt2293640
25892 5671 isBwMtlWLeE tt0762107
26285 9107 v3H9-sHDZSA tt1051904
26650 5726 gIQWTB6lNlw tt4685096
26812 14782 TYCfoxmY_vg tt2989524
26999 11067 utFeHmJ1iUw tt0107983
27393 5848 diLE4umndNM tt0360717
275135 6279 dHXVvD4FFas tt2386490
275452 5301 5x1FeyWYp9s tt4765284
27569 3971 SmCSJ3akPIs tt0424774
27666 4821 L5Yu-IGx0-4 tt0274812
28013 6840 Od9Z1C8dboY tt4685096
28098 4045 LJvCFAHRAFI tt0095497
28267 16740 LveQLUDjnaw tt0094812
28271 4088 aGAInDBQOoE tt1872181
28532 4897 SQoNv-hzC_Y tt0082010
285394 29435 iqZmwwUvgVU tt1700841
28653 6165 CkW8xFVXPqI tt0795461
287043 16859 3qp3AeWmt38 tt1673434
289251 101008 tQl5ypxi69U tt0103956
28947 4417 5wcg-4j9CZ0 tt2406566
29078 3829 goyoOGbDjNM tt0094862
29166 19060 bzRIeXSIS_w tt0344510
29247 3947 AtJ5phl1iVE tt1051904
292514 48816 xkzNVP-tQ-0 tt0452625
29306 3301 TKkrgiTpj1c tt1650043
29389 3432 5H_MyLSpRSs tt0089489
29459 1673 Le-bfbn43WE tt3605418
29486 1618 JWbqI-m3A3w tt2034800
29567 2884 iFEr1xsuksI tt0387575
29591 3894 MCJcxb_RtII tt0453451
298462 17953 E-wr7dD1n5w tt1155076
29893 1938 mCdbIDiib5U tt0070034
29994 1154 eMyuRmZNaTk tt5052474
30032 2285 _m90Rm0RX-8 tt0100502
30115 2852 iQoNLmqqMQA tt3605418
30173 2061 4kNNwEV5XJI tt1038686
30181 1724 j1tXIl0snEk tt7518466
30215 4211 nBmNcy4zZNU tt0170016
30377 1263 Lgpg6frCrvw tt1446192
30437 2047 js-kku6X7yU tt0257106
30438 5293 hcWY1CYRCsw tt7616798
30542 1154 vwObck9twes tt2872732
30556 4994 2NhF6zphSx8 tt0089907
30561 1014 SPMpDCxhKGU tt0097647
30561 2561 qFNBUs7O-h4 tt0100814
30643 1809 nqzkyfeS2Oo tt7958736
30659 5507 nJ1hrmVHUJg tt0243585
30674 1372 JDbwEQG2cqI tt1318514
30705 645 o4lq3SOB8sw tt0097576
30738 1318 C2gQo-0VW5c tt0348150
30765 747 iDnE3PV4YNc tt3890160
30774 801 fgJ2CaTfaxU tt0105812
30895 1066 bOR38552MJA tt0158983
30907 885 vRUQ_q5mivc tt3110958
30917 1707 YKZRedzkeU8 tt1700841
