class_id class_name youtube_id imdb_id
0 explains -QNxYSDdpig tt0449059
0 explains -XggDv2QdHg tt0401420
0 explains 0IQgjMYWVGc tt0264935
0 explains 0S7olzuojGY tt0144084
0 explains 0foXV1hWrx4 tt0090830
0 explains 0ofpRxc0GVg tt0889583
0 explains 0p9Q6tDJJ1w tt0195714
0 explains 1LDL6H_on2g tt0914364
0 explains 1MnPXQSWAJo tt0421239
0 explains 1OV3T6GWhIg tt0084649
0 explains 1Pb1vdt-SnQ tt0090830
0 explains 1dqc9SW9OFI tt0212235
0 explains 1pJywLQLzcA tt0090830
0 explains 2PQw2qw3BDw tt0379786
0 explains 2VgamrBe_vM tt0102303
0 explains 2kt3CmzYGu4 tt2543164
0 explains 2wN8f0ezRS8 tt5226436
0 explains 3VfuSHP-57o tt0890870
0 explains 3WscLkiiCts tt0381681
0 explains 4jsUIgchHXU tt0054698
0 explains 4k9WHvF1QsE tt0055871
0 explains 4o1x3FxQLf8 tt3230934
0 explains 4q5rmjaO9Cw tt1479847
0 explains 5938LUU-UAY tt0111653
0 explains 5CfzQ1956jw tt1376460
0 explains 5h5zurZsIQY tt0075686
0 explains 5jAVjQh9S8A tt0101301
0 explains 5s8dYeDZPAE tt0050083
0 explains 64-EdvBcZYg tt5226436
0 explains 6DZ7DfrTDds tt0166924
0 explains 6UKeesKIuZA tt0443536
0 explains 6bxEuaulT4k tt0092003
0 explains 6c_H45kt1_8 tt0468569
0 explains 6u3GAQgZpww tt0126886
0 explains 7_OHC_nqFQ8 tt0095897
0 explains 7g4XFGQutFM tt1211956
0 explains 7h14GBiAZxo tt0864761
0 explains 8vq_k0yqq88 tt0114369
0 explains 9QbJu_68yS4 tt0107426
0 explains 9Ro2O9YAkAo tt1322312
0 explains 9YJRtvamIjU tt2543164
0 explains 9e06PDg1pgs tt0108149
0 explains A6f-6l0W-0o tt1285016
0 explains AApQkNSViGg tt0050825
0 explains ALfuWSv9YVc tt0055031
0 explains Aaj_WEYZJN0 tt1507566
0 explains AcNkJ4_bQ1g tt0287717
0 explains B0FZhLeHy7A tt0060086
0 explains B46nugc-4c4 tt3717252
0 explains B9oxe-Dvvj0 tt0243655
