class_id class_name youtube_id imdb_id
0 \N --UgPWRVt8A tt3399112
0 \N --hendERqm0 tt5936438
0 \N -D3PMCmZot0 tt2621126
0 \N -EZS68nXwHo tt4335520
0 \N -XuS9JQgu4M tt6094944
0 \N -c6nNzrAqs0 tt4335520
0 \N -fMCqLBMPPo tt0428518
0 \N -fRY1b6WAx4 tt7399158
0 \N -jYZCqfUfVU tt4504438
0 \N 08UMKwdtWk8 tt2621126
0 \N 0x0muJjYzp4 tt1772925
0 \N 0xHPBlFPCwo tt6231792
0 \N 1LoKbaf2vrU tt1772925
0 \N 1YsmGZIZG0U tt5278578
0 \N 1zl35F7uPoo tt1091863
0 \N 22LBB9jJG60 tt4666228
0 \N 2anI_i9YYf4 tt5278578
0 \N 2lavod63XMI tt0428518
0 \N 3U7pCM576i4 tt2991532
0 \N 3s--5gsc4bs tt6094944
0 \N 3wtgdxKJI_A tt0378407
0 \N 3zgwoTgXXuc tt6599064
0 \N 4C7VpH9VvC0 tt7518466
0 \N 4OyCzhF1A8s tt4504438
0 \N 4cl5cWYmvgc tt7681902
0 \N 4mYsa1t21Mg tt1091863
0 \N 4tMdFDBXDpk tt3911554
0 \N 5CrXuWBxVVk tt4397414
0 \N 5LdmmsMZU-I tt4504438
0 \N 5Zpj9911g6I tt6333066
0 \N 5bTmqPTQPOg tt6333066
0 \N 5eNVHUxlR1Y tt6094944
0 \N 5klqA0K7K8k tt0378407
0 \N 6IdswAQLBKk tt6333066
0 \N 6kN5IkXFwcQ tt5936438
0 \N 6qZZWAScCn8 tt7518466
0 \N 7d4Sd1W25xs tt4504438
0 \N 8Px7Lr7VzvY tt0378407
0 \N 8nOx6uj46XQ tt1772925
0 \N 93lz5IE7Z0c tt0102370
0 \N 9CKyWqb5-sw tt0428518
0 \N 9Ou3nVQc4V8 tt10146586
0 \N 9lnovJPbLTc tt4335520
0 \N 9w3jysNGqeA tt4335520
0 \N A-BrlQ3h1i4 tt0428518
0 \N ABW5RN51NqA tt1860355
0 \N AFJ_QnfENd4 tt0781008
0 \N APsmTB3F7Rs tt0378407
0 \N AxGMySJ6ySc tt10720210
0 \N B4ppeyE6UyU tt1860355
0 \N BSEx_EMtQW8 tt0473692
0 \N BSy7Wzj4OCY tt0428518
0 \N BuQKVYgI8S0 tt6094944
0 \N De-dBcPZlIM tt1860355
0 \N DqSBqfDgOsQ tt7681902
0 \N E-OEyIQ12Mw tt3399112
0 \N E6T4nHj8afI tt6231792
0 \N E7XIYOvcjuE tt4666228
0 \N EVy-c7ZaMvI tt6333066
0 \N En3JBEKvxr4 tt1772925
0 \N EqYD_u86J8E tt2991532
0 \N F0YzQbNdlpI tt6231792
0 \N F55uFHs0d-o tt0486358
0 \N FqbR0-PbFOo tt4666228
0 \N FxwaraxX89Y tt2621126
0 \N Fz9Y72jbsxU tt3602442
0 \N GqGPu-X3cv8 tt5936438
0 \N H3plWCGH4wM tt0378407
0 \N HCNwZZ3Baus tt6599064
0 \N HCRagorblVI tt3911554
0 \N HPcr2gT_cnA tt7681902
0 \N HgqmQ4RN9vo tt6333066
0 \N IT4vcwIvSCI tt7399158
0 \N IgeW0MPX60Q tt5936438
0 \N JHAtw0HRhho tt5936438
0 \N Jn23_pn6aAE tt3399112
0 \N JvTQZxz-KBk tt7518466
0 \N K6O_Ep9bY0U tt7681902
0 \N KAVqLKDwSOo tt0102370
0 \N K_31ZHeMlB8 tt0378407
0 \N LPEVs0FV7Os tt2621126
0 \N LZ7Thv4ztjg tt10720210
0 \N LiHKY-bG36E tt1584016
0 \N LjSeILLCe2M tt4666228
0 \N M1dWcUcCAgk tt6231792
0 \N M9nDop-5T0I tt0378407
0 \N MLCZ_B7FKc8 tt7518466
0 \N MRmFis1ZxUE tt0428518
0 \N MVo83HAnysQ tt10720210
0 \N MVxXoBHtBfs tt4504438
0 \N M_h6qdnNiNw tt4666228
0 \N MosezS_qfk4 tt0378407
0 \N MsIWigAwas8 tt6599064
0 \N MsUXCqHc8xE tt6231792
0 \N N1UxH6P-Fgc tt4666228
0 \N NIZSw5HFr60 tt2991532
0 \N NLfY3XAZ6c0 tt0486358
0 \N NQw5e3HJgfk tt7518466
0 \N NTne-1oUAZU tt4504438
0 \N NsNN1eHv7MU tt0428518
0 \N O75p8X8YBtw tt6599064
0 \N OC6SxQVSMHo tt4397414
0 \N ONBLhIZCtQU tt5278578
0 \N Ol5eFltyhLE tt3602442
0 \N PO8fJeJP8AU tt3602442
0 \N PnNS71ethmI tt4397414
0 \N PtozHYwIkNw tt0378407
0 \N PzjOxjO_LuI tt5278578
0 \N Q2P2WsgH6mQ tt6231792
0 \N QHjr51lAne4 tt6231792
